City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
39,Chokurdakh,70.6333,147.9167,11.95,87,100,5.68,RU,2022-04-16 03:45:58
40,Barrow,71.2906,-156.7887,6.82,72,0,25.32,US,2022-04-16 03:44:40
41,Faya,18.3851,42.4509,64.92,38,21,4.23,SA,2022-04-16 03:47:59
42,Taksimo,56.3444,114.8794,31.57,49,94,2.95,RU,2022-04-16 03:47:59
43,Hobyo,5.3505,48.5268,82.65,73,51,7.36,SO,2022-04-16 03:48:00
44,Lumeje,-11.55,20.7833,64.15,97,98,2.55,AO,2022-04-16 03:48:00
45,East London,-33.0153,27.9116,58.14,77,0,5.75,ZA,2022-04-16 03:48:01
46,Torbay,47.6666,-52.7314,36.39,81,100,13.8,CA,2022-04-16 03:43:10
47,Narsaq,60.9167,-46.05,30.42,76,61,2.75,GL,2022-04-16 03:48:01
48,Alice Springs,-23.7,133.8833,94.55,16,29,10.36,AU,2022-04-16 03:48:01
49,Chuy,-33.6971,-53.4616,59.49,71,67,6.11,UY,2022-04-16 03:48:02
50,Saint Anthony,45.0205,-93.218,30.09,66,100,19.57,US,2022-04-16 03:48:02
51,Sakakah,29.9697,40.2064,65.77,23,39,2.93,SA,2022-04-16 03:48:03
52,Port Augusta,-32.5,137.7667,88.16,21,0,4.23,AU,2022-04-16 03:48:03
53,Makakilo City,21.3469,-158.0858,74.68,68,75,16.11,US,2022-04-16 03:48:03
54,Castro,-24.7911,-50.0119,47.43,95,0,4.65,BR,2022-04-16 03:43:09
55,Ribeira Grande,38.5167,-28.7,59.74,71,100,4.7,PT,2022-04-16 03:48:04
56,Korostyshiv,50.3172,29.0563,47.59,93,100,6.24,UA,2022-04-16 03:48:04
57,Vardo,70.3705,31.1107,36.0,91,100,19.55,NO,2022-04-16 03:48:05
58,George,-33.963,22.4617,49.55,87,0,2.3,ZA,2022-04-16 03:47:56
59,Thompson,55.7435,-97.8558,19.56,53,75,6.91,CA,2022-04-16 03:45:47
60,Punta Arenas,-53.15,-70.9167,44.71,70,0,13.8,CL,2022-04-16 03:48:05
61,Egvekinot,66.3167,-179.1667,15.96,85,100,12.62,RU,2022-04-16 03:48:06
62,Hermiston,45.8404,-119.2895,47.39,53,0,6.91,US,2022-04-16 03:46:22
63,Bredasdorp,-34.5322,20.0403,58.19,64,99,11.56,ZA,2022-04-16 03:48:06
64,Madang,-5.2246,145.7966,85.87,65,79,6.87,PG,2022-04-16 03:48:07
65,Lagoa,39.05,-27.9833,58.66,70,100,8.75,PT,2022-04-16 03:48:07
66,Albany,42.6001,-73.9662,58.26,38,78,13.42,US,2022-04-16 03:48:08
67,Airai,-8.9266,125.4092,71.83,75,55,1.59,TL,2022-04-16 03:48:08
68,Pisco,-13.7,-76.2167,65.01,82,0,10.36,PE,2022-04-16 03:48:08
69,Sao Filipe,14.8961,-24.4956,70.48,76,7,7.34,CV,2022-04-16 03:48:09
70,Norman Wells,65.282,-126.8329,12.24,48,20,10.36,CA,2022-04-16 03:48:09
