City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
414,Chabahar,IR,81.99,few clouds,25.2919,60.643,هتل گدروشیا
420,Alice Springs,AU,78.35,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
421,Deogarh,IN,78.08,scattered clouds,21.5333,84.7333,Amit Henej House
430,Manokwari,ID,81.5,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
436,Cockburn Town,TC,77.47,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
439,Dattapur,IN,86.49,clear sky,20.7667,78.1667,Hotel Sadanand
440,Oranjestad,AW,78.75,clear sky,12.524,-70.027,Divi Village Golf & Beach Resort
446,Daru,PG,83.41,broken clouds,-9.0763,143.2092,Daru Lodge
452,Port Hedland,AU,77.05,few clouds,-20.3167,118.5667,The Esplanade Hotel
465,Port Moresby,PG,81.61,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
470,Cap Malheureux,MU,76.46,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
473,Porto Walter,BR,75.74,broken clouds,-8.2686,-72.7439,Secretaria de saúde
481,Coruripe,BR,81.12,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
485,Kulhudhuffushi,MV,83.68,overcast clouds,6.6221,73.07,Haajy Guest House 1
488,Diffa,NE,89.96,scattered clouds,13.3154,12.6113,ProDAF/Diffa
492,Mangrol,IN,79.43,clear sky,21.1167,70.1167,Hotel The Royal Honours
493,Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
498,Pio Xii,BR,75.63,heavy intensity rain,-3.8325,-45.1525,BACURI DOS QUARESMAS
499,Naranjal,EC,78.04,light rain,-2.6667,-79.6167,Media Naranja
502,Una,IN,77.18,clear sky,20.8167,71.0333,Hotel Harbhole
510,Port-Gentil,GA,80.56,few clouds,-0.7193,8.7815,Fengshui Residence
512,Sulangan,PH,81.16,broken clouds,11.1373,123.7228,Maia's Beach Resort
514,Pocone,BR,80.47,scattered clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
515,Saint-Leu,RE,76.03,scattered clouds,-21.15,55.2833,La Caz Oceane
517,Alyangula,AU,81.46,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
520,Luganville,VU,84.15,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
522,Palora,EC,77.11,light rain,-1.7,-77.9333,Rancho grande
525,Mayumba,GA,77.58,scattered clouds,-3.432,10.6554,LIKWALE LODGE
529,Manacapuru,BR,77.58,moderate rain,-3.2997,-60.6206,Novo Hotel
531,Muli,MV,82.99,broken clouds,2.9167,73.5667,Medhufushi Island Resort
533,Matara,LK,79.21,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
535,Salalah,OM,80.69,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
536,Namatanai,PG,83.25,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
538,Ilorin,NG,83.1,broken clouds,8.5,4.55,SITY INN
539,Copala,MX,86.09,few clouds,16.65,-98.9833,Kaak Naab Playa Ventura
541,San Pedro,PH,81.63,broken clouds,14.35,121.0167,Esquivel's Garden And Resort
544,Trinidad,BO,76.98,few clouds,-14.8333,-64.9,Hotel Piesta
546,Barra Do Garcas,BR,75.24,scattered clouds,-15.89,-52.2567,Pousada Tropical
555,Mecca,SA,80.53,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
559,Mongo,TD,89.2,overcast clouds,12.1844,18.693,Résidences du Programme FIDA
569,Salinopolis,BR,78.55,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
578,Minab,IR,81.52,overcast clouds,27.1467,57.0801,Bam campground
579,Bamnet Narong,TH,79.48,overcast clouds,15.4992,101.6897,Jong Jaroen Resort
581,Neopolis,BR,79.95,clear sky,-10.32,-36.5794,Hotel São Francisco
585,Nabisar,PK,79.74,clear sky,25.0685,69.6419,Dhani Parto Dars
586,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
588,Cururupu,BR,75.36,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
591,Rincon,US,76.96,broken clouds,32.296,-81.2354,Days Inn Rincon
600,Naliya,IN,77.99,clear sky,23.2667,68.8333,jadeja jayendrasinh
609,Makakilo City,US,77.32,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
614,Kerema,PG,82.44,overcast clouds,-7.9631,145.7785,Frena Lodge
615,Aden,YE,81.88,few clouds,12.7794,45.0367,Sama Emirate Hotel
616,Bela,IN,82.38,clear sky,25.9333,81.9833,Raj Bhawan
617,Salvador,SV,82.44,broken clouds,13.8333,-88.9167,Chico's Ranch
618,Mithi,PK,76.21,clear sky,24.7318,69.7981,Ashiyana guest house
621,Tabou,CI,78.03,moderate rain,4.423,-7.3528,hotêl doufoulougou
626,Amahai,ID,80.78,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
630,Arboletes,CO,81.43,broken clouds,8.8505,-76.4269,Hotel Playa Star
636,Sinnamary,GF,78.26,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
642,Pitimbu,BR,82.99,few clouds,-7.4706,-34.8086,Reserva do Abiaí
644,Vaniyambadi,IN,80.11,broken clouds,12.6833,78.6167,Ahmedia Hotel™️ Since 1975
646,Gladstone,AU,75.78,clear sky,-23.85,151.25,Highpoint International Hotel
647,Chirongui,YT,80.53,clear sky,-12.9319,45.1483,La Villa Mahatsara
652,Catuday,PH,79.11,light rain,16.2923,119.8062,Benjie's Kubo & Cottages
654,Doha,QA,80.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
657,Winslow,US,77.18,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
661,Lhokseumawe,ID,79.34,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
664,Bandarbeyla,SO,80.85,scattered clouds,9.4942,50.8122,JABIR HOTEL
669,Kralendijk,BQ,79.03,clear sky,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
671,Ikom,NG,77.92,broken clouds,5.9667,8.7063,Reho Farm & Resort
672,Lucea,JM,77.86,light rain,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
673,Phangnga,TH,77.04,broken clouds,8.4509,98.5298,Sunimit Mansion
679,Garowe,SO,77.5,scattered clouds,8.4054,48.4845,Curubo Hotel
