City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
308,Asmara,ER,15.3333,38.9333,61.0,61,85,3.29,overcast clouds
309,Kanniyakumari,IN,8.0833,77.5667,82.6,79,30,12.68,scattered clouds
310,Cao Bang,VN,22.6667,106.25,60.46,97,100,1.95,overcast clouds
311,Korla,CN,41.7597,86.1469,47.89,15,0,2.75,clear sky
312,Ancud,CL,-41.8697,-73.8203,57.22,86,28,2.53,scattered clouds
313,Bowen,AU,-20.0167,148.2333,76.77,62,36,12.84,scattered clouds
314,Haines Junction,CA,60.7522,-137.5108,34.07,62,100,0.51,overcast clouds
315,Olafsvik,IS,64.8945,-23.7142,43.92,97,100,12.39,light rain
316,San Cristobal,VE,7.7669,-72.225,70.59,84,100,4.63,overcast clouds
317,Port-Cartier,CA,50.0334,-66.8654,35.53,82,40,8.43,scattered clouds
318,Orlik,RU,52.5178,99.825,23.14,84,93,2.66,overcast clouds
319,Rawson,AR,-43.3002,-65.1023,55.85,65,0,10.18,clear sky
320,Krasnogorskoye,RU,52.2953,86.1979,44.46,74,4,4.52,clear sky
321,Quatre Cocos,MU,-20.2078,57.7625,76.08,84,46,14.83,light rain
322,Okha,RU,53.5739,142.9478,29.79,80,100,11.27,overcast clouds
323,Ahipara,NZ,-35.1667,173.1667,68.2,70,100,14.54,overcast clouds
324,Santa Cruz,BO,-17.8,-63.1667,65.95,54,13,5.32,few clouds
325,Faridpur,BD,23.6,89.8333,78.04,92,34,12.24,scattered clouds
326,Komsomolskiy,UZ,40.4272,71.7189,66.96,25,33,4.12,scattered clouds
327,Broken Hill,AU,-31.95,141.4333,73.04,32,0,20.18,clear sky
328,Vostok,RU,46.4856,135.8833,35.38,63,2,12.86,clear sky
329,Ruwi,OM,23.5996,58.5507,89.2,29,14,6.04,few clouds
330,Oussouye,SN,12.485,-16.5469,71.29,70,17,12.66,few clouds
331,Atasu,KZ,48.6814,71.6433,55.13,22,100,6.76,overcast clouds
332,Saint-Georges,GD,12.0564,-61.7485,82.08,74,20,23.02,few clouds
333,Mitu,CO,1.1983,-70.1733,73.38,97,95,1.81,overcast clouds
334,Ostrovnoy,RU,68.0531,39.5131,31.6,83,100,19.57,overcast clouds
335,Nioki,CD,-2.7167,17.6833,73.94,79,75,2.33,broken clouds
336,Urumqi,CN,43.801,87.6005,43.75,21,0,4.47,clear sky
337,Migori,KE,-1.0634,34.4731,64.54,90,100,1.79,light rain
338,Itamaraju,BR,-17.0392,-39.5311,70.86,93,100,3.8,light rain
339,Langsa,ID,4.4683,97.9683,74.21,97,100,2.59,overcast clouds
340,Bogandinskiy,RU,56.8937,65.8938,35.87,80,49,8.43,scattered clouds
341,Derzhavinsk,KZ,51.1,66.3167,47.95,70,100,7.9,overcast clouds
342,Brokopondo,SR,4.75,-55.1667,77.5,84,84,9.26,broken clouds
343,Morro Bay,US,35.3658,-120.8499,67.24,80,52,3.0,broken clouds
344,Kavaratti,IN,10.5669,72.642,83.53,73,18,4.68,few clouds
345,Waitara,NZ,-38.925,174.25,69.22,57,41,9.17,scattered clouds
